trial_number,params,value
25,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9246301449526346, 'tfidf_min_df': 14, 'classifier': 'LinearSVC', 'svc_penalty': 'l2', 'tol': 0.03896810536777851, 'svc_loss': 'hinge', 'C_svc': 9.763424761407347, 'svc_max_iter': 13752}",0.8982945446641173
26,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9762418731683671, 'tfidf_min_df': 91, 'classifier': 'RidgeClassifier', 'ridge_alpha': 9.910152684789274, 'solver': 'auto'}",-inf
27,"{'tfidf_max_ngram': 1, 'tfidf_max_df': 0.9989928681658571, 'tfidf_min_df': 169, 'classifier': 'LinearSVC', 'svc_penalty': 'l2', 'tol': 0.012469723940522509, 'svc_loss': 'hinge', 'C_svc': 7.963169899914776, 'svc_max_iter': 16390}",0.879916781333509
28,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9430239454749412, 'tfidf_min_df': 62, 'classifier': 'LinearSVC', 'svc_penalty': 'l2', 'tol': 0.047748869252531426, 'svc_loss': 'hinge', 'C_svc': 7.204701382702208, 'svc_max_iter': 7659}",0.879791331929438
29,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9690833969326917, 'tfidf_min_df': 581, 'classifier': 'LinearSVC', 'svc_penalty': 'l2', 'tol': 0.032969761337416845, 'svc_loss': 'hinge', 'C_svc': 8.993669474583445, 'svc_max_iter': 11874}",0.8634590039012309
30,"{'tfidf_max_ngram': 1, 'tfidf_max_df': 0.9069211590909635, 'tfidf_min_df': 9, 'classifier': 'LinearSVC', 'svc_penalty': 'l2', 'tol': 0.017703891449965137, 'svc_loss': 'hinge', 'C_svc': 5.85630420691982, 'svc_max_iter': 14048}",0.8793505260150554
31,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9985696460134492, 'tfidf_min_df': 4, 'classifier': 'LinearSVC', 'svc_penalty': 'l2', 'tol': 0.05431693620001914, 'svc_loss': 'hinge', 'C_svc': 7.161212892311861, 'svc_max_iter': 12624}",0.9098118754081834
32,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9396608271388278, 'tfidf_min_df': 136, 'classifier': 'LinearSVC', 'svc_penalty': 'l2', 'tol': 0.04922545000329139, 'svc_loss': 'hinge', 'C_svc': 7.281923419476858, 'svc_max_iter': 9294}",0.8768018126191128
33,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9743567836686617, 'tfidf_min_df': 80, 'classifier': 'LinearSVC', 'svc_penalty': 'l2', 'tol': 0.03408294295942962, 'svc_loss': 'hinge', 'C_svc': 6.505771679352552, 'svc_max_iter': 11530}",0.8799800556441587
34,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9991959021357356, 'tfidf_min_df': 3, 'classifier': 'RidgeClassifier', 'ridge_alpha': 2.21150112175353, 'solver': 'sparse_cg'}",-inf
35,"{'tfidf_max_ngram': 2, 'tfidf_max_df': 0.9517864272935718, 'tfidf_min_df': 760, 'classifier': 'LinearSVC', 'svc_penalty': 'l2', 'tol': 0.04768321095215055, 'svc_loss': 'hinge', 'C_svc': 8.88872585668112, 'svc_max_iter': 13690}",0.8547737271237793
